Name of Hospitals,Category,Rating,Address,Contact,Email
NewEra Hospitals, Hospital,4.6,"Plot 68, Central Ave, near Telephone Exchange Chowk, near Jalaram Mandir Road", 080559 97799,http://newerahospitalnagpur.com/
Hope hospital, Private hospital,3.7,"Plot no: 2, Kamptee Rd",093731 11709,https://www.hopehospital.com/
SevenStar Hospital, Private hospital,4.7,"324, 1, Great Nag Rd, near Jagnade Square", 0712 669 9822,http://sevenstarhospitals.com/
Radiance Hospital Pvt. Ltd., Private hospital,3.4,"268, Central Ave, Near Pritam Bhawan", 0712 277 9898,http://radiance.com/
Shri Radhakrishna Hospital & Research institute., Hospital,4.5,"44XR+FHQ, Central Ave", 089997 68736,http://radhakrishna.com/
Alexis Multispecialty Hospital, General hospital,4.2,"232, Mankapur, Koradi Rd", 0712 712 0000,http://www.alexishospital.com/
"CARE Hospitals, Nagpur", Hospital,4.6,"3, Farmland Rd", 040 6810 6589,https://www.carehospitals.com/hospitals/nagpur/
Saboo Hospital, Private hospital,4.8,"Darodkar Square, Central Ave", 0712 276 4770,https://www.Saboo.com/
Center Point Hospital | Multispecialty Hospital in Nagpur, Hospital,3.6,Medical Chowk, 0712 270 0100,http://www.centerpointhospital.co.in/
Orange City Hospital & Research Institute, Private hospital,4.7,"19, Khamla Road Veer Sawarkar Square Opposite to Jupiter College", 0712 663 4800,http://www.ochri.com/
KIMS-Kingsway Hospitals, Hospital,4.6,"Medisearch Lifesciences Pvt. Ltd, 44, SPANV, Kingsway Rd, near Kasturchand Park", 0712 678 9100,https://www.kimshospitals.com/nagpur/
VIMS Hospital, General hospital,4.1,Kamptee Rd, 0712 350 5800,https://vimsnagpur.in/
"Wockhardt Super Specialty Hospital, Nagpur", Private hospital,4.8,"Daga College, 1643, Ambazari Rd, beside Lady Amritbai", 0712 662 4100,https://www.wockhardthospitals.com/nagpur-multispeciality/
KRIMS Hospitals, Hospital,4.8,"275, Central Bazar Road", 0712 245 1188,http://www.krimshospitals.com/
Shanti Mohan Hospital, Hospital,3.9,"Behind HTF building, Mount Rd, opp. Dominos", 0712 254 1086,https://www.shantimohan.com/
Getwell Hospital and Research Institute, General hospital,3.8,"20 1, Dr, Khare Marg", 0712 663 2200,http://getwellhospitals.com/
Mure Memorial Hospital, Private hospital,3.6,"Mure Memorial Hospital, Maharajbagh Rd", 0712 252 2370,http://www.murememorialhospital.org/
Samarpan Hospital, Hospital,3.7,"54C8+3F4, Sujat Nagar, Itwari Station Rd", 0712 264 4346,   https://www.samarpan.com/
NIMS Hospital - Top Multispeciality Hospital in Nagpur, Hospital,4.6,"13, 1-A, Khare Marg, opposite balbharati office", 093561 99239,http://www.nimshospitalnagpur.com/
Meditrina Institute of Medical Sciences - Best Multispeciality hospital in Nagpur, Hospital,4.2,"Meditrina institute of medical science, 278, Central Bazar Road", 0712 666 9666,https://meditrinainstitute.com/
Abhinav Multispeciality Hospital, Hospital,4.7,"10 no, Puliya, opposite Swastik School", 0712 264 1715,http://bhatnagarhospital.com/
Sungrace Hospital NABH 15 Beds, Private hospital,4.8,"Plot 55, Shyama Arcade, Near telephone exchange square Old bagadganj, Gangabai Ghat Rd", 088888 16156,http://www.sungracehospital.com/
Shatayu Hospital, General hospital,3.9,"26, Wardha Rd", 093700 85475,http://www.shatayuhospital.com/
RNH Hospital, Hospital,4.9,"40, Balraj Marg", 0712 242 0044,https://www.rnhhospital.com/
Ayushman Nagpur Hospital - All Govt. Health Schemes Available, Hospital,4.5,"3rd floor, Shrivardhan complex, Ayushman Hospital", 070309 74619,http://theayushmanhospital.com/
Icon Hospital, Hospital,4.2,"K-12, Amravati Rd", 0712 256 2252,https://iconhospitalnagpur.com/
Arihant Multispeciality Hospital | Top multispeciality hospital Nagpur, Hospital,4.8,"Baidyanath Sqr, opp. capitol heights, opp. VRmall", 0712 665 6666,https://arihanthospitals.co.in/
Kunal Hospital, Hospital,2.8,"Koradi Road, Mankapur, Chowk", 093264 19353,http://www.kunalhospital.com/
NIRAMAY HOSPITAL, Hospital,4.6,"Niramay Hospital, 518, Medical College Rd", 075075 27629,https://niramayhospital.com/
Midcity Hospital Nagpur, Private hospital,4.8,"12 2 nd Floor, Pushpkunj Complex, 12, near Center Point Hotel", 073919 48014,http://www.midcityhospitalnagpur.com/
Tirpude Hospital, Private hospital,3.1,"54G3+G98, Chalks Colony, Kamptee Rd", 0712 264 0305,http://www.tirpude.com/
Lata Mangeshkar Hospital, General hospital,4.1,"YMCA Complex, Maharajbagh Rd", 0712 253 0347,http://imhbuldi.com/
SHRAMAN HOSPITAL, Hospital,4.2,"Plot no.3, Bedi Tower, Doctor Ambedkar Road Kamal Chowk", 0712 264 0088,http://shraman.com/
Arneja Heart and Multispeciality Hospital, Heart hospital,4.8,"Ramdaspeth, Plot No 123, behind Somalwar High School", 0712 666 1800,https://www.arnejaheartinstitute.com/
Midas Multispeciality Hospital Pvt. Ltd., Gastroenterologist,3.9,"4th Floor, Midas Heights, 7, Central Bazar Road", 0712 243 0511,https://www.midashospital.com/
Crescent Hospital & Heart Centre Nagpur, Cardiologist,4.2,"Plot No. 5, 1st Lane, behind Old Mount Carmel School", 091588 84440,https://crescenthearthospital.in/
Shravan Multispeciality Hospital And Kidney Institute, Hospital,3,"Plot No 239, Nandanvan Main Rd, near Shikshak Sahakari Bank", 090110 34595,https://www.practo.com/nagpur/hospital/shravan-hospital-nandavan-colony/
Suretech Hospital, General hospital,4.5,"13A, Banerjee Marg", 091122 22244,https://shrcl.in/
